Source	Target	Weight	Type
6	194	1	Undirected
6	304	1	Undirected
24	122	1	Undirected
21	142	5	Undirected
85	225	1	Undirected
201	205	1	Undirected
25	272	1	Undirected
51	122	1	Undirected
309	313	1	Undirected
75	203	1	Undirected
88	245	1	Undirected
123	241	1	Undirected
21	88	7	Undirected
10	106	1	Undirected
136	265	1	Undirected
67	266	1	Undirected
61	76	1	Undirected
114	194	1	Undirected
7	30	3	Undirected
38	192	1	Undirected
33	210	1	Undirected
127	315	1	Undirected
103	133	1	Undirected
48	137	1	Undirected
7	113	1	Undirected
4	16	3	Undirected
52	78	1	Undirected
22	240	1	Undirected
83	118	1	Undirected
62	246	2	Undirected
24	105	7	Undirected
39	232	1	Undirected
84	118	1	Undirected
46	64	1	Undirected
114	282	1	Undirected
2	93	1	Undirected
9	17	1	Undirected
45	59	1	Undirected
306	317	1	Undirected
98	318	1	Undirected
79	254	1	Undirected
13	96	1	Undirected
22	288	1	Undirected
35	246	2	Undirected
56	66	1	Undirected
48	300	1	Undirected
90	106	1	Undirected
23	236	1	Undirected
15	29	1	Undirected
83	167	1	Undirected
63	283	1	Undirected
71	284	1	Undirected
55	75	1	Undirected
21	186	3	Undirected
32	124	1	Undirected
9	102	2	Undirected
76	99	1	Undirected
21	56	1	Undirected
23	29	1	Undirected
23	107	1	Undirected
270	271	1	Undirected
6	90	8	Undirected
67	200	1	Undirected
89	294	1	Undirected
302	311	1	Undirected
58	132	2	Undirected
11	106	1	Undirected
62	159	1	Undirected
85	284	1	Undirected
62	127	5	Undirected
19	171	1	Undirected
150	153	1	Undirected
190	291	1	Undirected
136	294	1	Undirected
24	244	1	Undirected
83	185	1	Undirected
65	67	1	Undirected
243	247	1	Undirected
24	251	1	Undirected
162	164	1	Undirected
186	316	1	Undirected
11	79	7	Undirected
38	229	1	Undirected
21	132	4	Undirected
38	99	1	Undirected
4	76	7	Undirected
21	62	11	Undirected
136	287	1	Undirected
55	171	1	Undirected
24	124	1	Undirected
63	188	1	Undirected
35	175	1	Undirected
43	44	1	Undirected
83	112	2	Undirected
102	180	1	Undirected
84	180	1	Undirected
112	188	1	Undirected
92	286	1	Undirected
309	316	1	Undirected
119	121	1	Undirected
108	133	4	Undirected
23	121	2	Undirected
25	270	1	Undirected
25	137	1	Undirected
276	279	1	Undirected
191	202	1	Undirected
22	248	1	Undirected
25	249	1	Undirected
163	168	1	Undirected
92	237	2	Undirected
10	89	4	Undirected
21	231	1	Undirected
1	71	4	Undirected
13	296	1	Undirected
58	79	4	Undirected
33	235	1	Undirected
223	229	1	Undirected
1	92	2	Undirected
63	86	1	Undirected
6	148	1	Undirected
2	202	1	Undirected
21	192	2	Undirected
12	39	1	Undirected
76	299	1	Undirected
5	62	4	Undirected
69	76	1	Undirected
16	195	2	Undirected
105	198	1	Undirected
37	146	1	Undirected
6	57	1	Undirected
34	39	7	Undirected
89	272	1	Undirected
161	253	1	Undirected
312	318	1	Undirected
79	252	1	Undirected
91	118	1	Undirected
112	180	2	Undirected
7	51	6	Undirected
252	253	1	Undirected
225	229	1	Undirected
294	298	1	Undirected
21	101	1	Undirected
136	252	1	Undirected
10	294	1	Undirected
210	219	1	Undirected
158	206	1	Undirected
37	136	8	Undirected
85	90	6	Undirected
4	241	1	Undirected
4	195	1	Undirected
79	227	1	Undirected
113	115	1	Undirected
203	208	1	Undirected
24	139	1	Undirected
24	299	1	Undirected
6	31	7	Undirected
150	157	1	Undirected
21	220	1	Undirected
71	227	1	Undirected
13	183	1	Undirected
185	284	1	Undirected
1	49	1	Undirected
32	247	1	Undirected
200	208	1	Undirected
153	155	1	Undirected
53	248	1	Undirected
193	227	1	Undirected
53	128	1	Undirected
186	308	1	Undirected
136	193	1	Undirected
127	263	2	Undirected
10	194	1	Undirected
14	18	1	Undirected
37	263	2	Undirected
90	199	2	Undirected
98	314	1	Undirected
33	38	4	Undirected
21	123	4	Undirected
7	198	2	Undirected
2	6	6	Undirected
255	257	1	Undirected
309	317	1	Undirected
76	179	1	Undirected
71	133	4	Undirected
133	246	2	Undirected
240	244	1	Undirected
38	289	1	Undirected
32	62	11	Undirected
108	200	1	Undirected
43	148	1	Undirected
127	171	1	Undirected
7	135	1	Undirected
43	297	1	Undirected
67	171	2	Undirected
143	147	1	Undirected
21	100	1	Undirected
302	313	1	Undirected
37	223	1	Undirected
93	105	1	Undirected
7	40	1	Undirected
112	161	2	Undirected
75	202	1	Undirected
5	79	7	Undirected
34	76	4	Undirected
161	257	1	Undirected
121	263	1	Undirected
79	260	1	Undirected
89	101	1	Undirected
15	19	1	Undirected
196	311	1	Undirected
12	36	1	Undirected
17	38	1	Undirected
7	126	1	Undirected
6	124	1	Undirected
21	300	1	Undirected
38	292	1	Undirected
32	270	1	Undirected
142	166	1	Undirected
