Source	Target	Weight	Type
154	163	1	Undirected
23	280	1	Undirected
99	102	1	Undirected
31	94	2	Undirected
75	106	1	Undirected
31	297	2	Undirected
82	237	1	Undirected
131	216	2	Undirected
10	180	1	Undirected
202	396	1	Undirected
5	49	1	Undirected
10	196	5	Undirected
29	386	1	Undirected
61	206	1	Undirected
15	100	2	Undirected
31	388	1	Undirected
67	192	1	Undirected
106	109	1	Undirected
22	100	2	Undirected
10	297	2	Undirected
147	156	1	Undirected
69	90	1	Undirected
22	394	1	Undirected
114	319	1	Undirected
3	47	1	Undirected
10	73	1	Undirected
33	34	1	Undirected
98	379	1	Undirected
69	128	1	Undirected
13	30	5	Undirected
26	29	4	Undirected
10	216	2	Undirected
14	36	2	Undirected
134	371	1	Undirected
4	215	1	Undirected
121	358	1	Undirected
29	79	3	Undirected
35	335	1	Undirected
122	363	1	Undirected
70	330	1	Undirected
293	361	1	Undirected
60	157	1	Undirected
93	244	2	Undirected
114	129	2	Undirected
74	121	1	Undirected
36	347	1	Undirected
1	40	1	Undirected
10	158	1	Undirected
92	165	1	Undirected
219	220	1	Undirected
132	325	1	Undirected
102	132	1	Undirected
15	79	2	Undirected
134	377	1	Undirected
10	38	1	Undirected
8	123	1	Undirected
68	132	2	Undirected
13	365	1	Undirected
95	112	1	Undirected
31	397	1	Undirected
92	203	1	Undirected
76	134	4	Undirected
346	356	1	Undirected
13	203	1	Undirected
60	279	1	Undirected
92	93	7	Undirected
192	321	1	Undirected
72	90	1	Undirected
53	202	2	Undirected
290	341	1	Undirected
11	201	1	Undirected
55	72	2	Undirected
61	203	1	Undirected
81	194	1	Undirected
23	112	2	Undirected
72	213	1	Undirected
118	129	1	Undirected
111	127	1	Undirected
31	235	1	Undirected
218	221	1	Undirected
95	107	1	Undirected
52	371	1	Undirected
166	172	1	Undirected
120	125	1	Undirected
98	108	1	Undirected
7	384	1	Undirected
68	358	1	Undirected
35	365	1	Undirected
22	53	2	Undirected
6	89	1	Undirected
5	135	1	Undirected
77	102	1	Undirected
69	76	1	Undirected
22	332	1	Undirected
122	366	1	Undirected
36	173	2	Undirected
23	272	1	Undirected
134	248	1	Undirected
51	182	1	Undirected
36	43	1	Undirected
175	178	1	Undirected
27	31	2	Undirected
35	253	1	Undirected
392	394	1	Undirected
23	293	2	Undirected
81	123	1	Undirected
7	245	1	Undirected
114	134	5	Undirected
310	318	1	Undirected
58	84	1	Undirected
89	207	1	Undirected
55	232	1	Undirected
36	249	1	Undirected
52	224	1	Undirected
6	249	1	Undirected
