Source	Target	Weight	Type
112	143	1	Undirected
134	135	1	Undirected
12	26	1	Undirected
23	163	1	Undirected
81	170	1	Undirected
4	39	1	Undirected
35	120	1	Undirected
10	27	1	Undirected
17	199	1	Undirected
65	72	1	Undirected
20	130	1	Undirected
75	169	1	Undirected
15	74	1	Undirected
17	229	1	Undirected
202	214	1	Undirected
151	155	1	Undirected
5	161	2	Undirected
215	222	1	Undirected
25	54	1	Undirected
11	171	1	Undirected
15	26	1	Undirected
38	192	1	Undirected
110	115	1	Undirected
183	201	1	Undirected
189	200	1	Undirected
36	81	3	Undirected
17	30	4	Undirected
50	77	1	Undirected
37	61	4	Undirected
141	152	1	Undirected
63	165	1	Undirected
158	159	1	Undirected
50	136	1	Undirected
24	43	1	Undirected
17	73	1	Undirected
185	195	1	Undirected
29	48	1	Undirected
25	29	1	Undirected
28	47	1	Undirected
30	126	1	Undirected
34	37	1	Undirected
5	204	1	Undirected
16	18	1	Undirected
35	135	1	Undirected
22	53	1	Undirected
17	220	1	Undirected
29	211	2	Undirected
7	195	1	Undirected
53	211	1	Undirected
8	17	1	Undirected
37	76	2	Undirected
193	200	1	Undirected
50	201	1	Undirected
229	231	1	Undirected
37	72	1	Undirected
43	75	1	Undirected
142	145	1	Undirected
1	20	1	Undirected
50	194	1	Undirected
33	41	1	Undirected
64	70	1	Undirected
71	73	1	Undirected
10	70	1	Undirected
85	89	1	Undirected
1	5	4	Undirected
61	190	1	Undirected
36	230	1	Undirected
43	84	1	Undirected
36	221	1	Undirected
227	231	1	Undirected
41	50	1	Undirected
6	90	4	Undirected
107	200	1	Undirected
127	221	1	Undirected
187	195	1	Undirected
9	30	1	Undirected
20	44	3	Undirected
2	47	1	Undirected
36	147	2	Undirected
5	12	2	Undirected
17	162	1	Undirected
38	171	1	Undirected
50	225	1	Undirected
1	202	1	Undirected
33	60	1	Undirected
6	30	3	Undirected
14	48	1	Undirected
1	89	1	Undirected
93	101	2	Undirected
198	200	1	Undirected
61	119	1	Undirected
107	195	1	Undirected
44	143	1	Undirected
116	187	1	Undirected
94	103	1	Undirected
7	225	1	Undirected
111	114	1	Undirected
134	213	1	Undirected
17	103	1	Undirected
35	179	1	Undirected
92	112	1	Undirected
7	39	1	Undirected
173	177	1	Undirected
11	39	1	Undirected
138	169	1	Undirected
43	88	2	Undirected
84	89	1	Undirected
5	236	1	Undirected
5	222	1	Undirected
1	46	1	Undirected
3	42	1	Undirected
14	39	1	Undirected
58	62	1	Undirected
36	100	1	Undirected
179	184	1	Undirected
30	43	2	Undirected
20	78	1	Undirected
75	223	1	Undirected
17	110	1	Undirected
17	107	4	Undirected
1	77	1	Undirected
184	187	1	Undirected
76	203	1	Undirected
83	90	1	Undirected
19	46	1	Undirected
93	116	1	Undirected
48	135	1	Undirected
166	228	1	Undirected
20	85	1	Undirected
5	139	1	Undirected
17	136	1	Undirected
112	151	1	Undirected
61	137	1	Undirected
166	167	1	Undirected
43	90	2	Undirected
8	27	1	Undirected
76	218	1	Undirected
17	152	1	Undirected
15	49	1	Undirected
38	92	1	Undirected
1	11	2	Undirected
96	183	1	Undirected
38	82	1	Undirected
7	11	2	Undirected
1	75	1	Undirected
19	43	1	Undirected
44	222	1	Undirected
11	173	1	Undirected
99	112	1	Undirected
25	41	1	Undirected
6	235	1	Undirected
70	86	1	Undirected
61	83	1	Undirected
23	238	1	Undirected
147	223	1	Undirected
182	199	1	Undirected
78	80	1	Undirected
164	197	1	Undirected
75	164	1	Undirected
1	181	1	Undirected
116	216	1	Undirected
83	89	1	Undirected
5	115	1	Undirected
53	201	1	Undirected
2	46	1	Undirected
11	217	1	Undirected
5	108	1	Undirected
21	37	1	Undirected
36	132	1	Undirected
60	67	1	Undirected
15	30	3	Undirected
93	169	1	Undirected
48	133	1	Undirected
33	120	1	Undirected
9	18	1	Undirected
5	144	1	Undirected
78	162	1	Undirected
78	166	1	Undirected
69	112	1	Undirected
12	84	1	Undirected
23	43	1	Undirected
5	232	1	Undirected
101	105	1	Undirected
40	237	1	Undirected
43	54	1	Undirected
44	148	2	Undirected
85	161	1	Undirected
74	96	1	Undirected
57	66	1	Undirected
6	12	2	Undirected
144	149	1	Undirected
76	90	2	Undirected
101	223	1	Undirected
74	221	1	Undirected
5	215	1	Undirected
26	41	1	Undirected
107	116	2	Undirected
81	158	1	Undirected
76	221	1	Undirected
28	43	1	Undirected
13	211	1	Undirected
17	57	1	Undirected
116	199	1	Undirected
3	16	1	Undirected
36	65	1	Undirected
61	76	3	Undirected
227	239	1	Undirected
2	15	1	Undirected
62	164	1	Undirected
56	71	1	Undirected
28	36	1	Undirected
28	48	1	Undirected
90	237	1	Undirected
30	61	3	Undirected
100	108	1	Undirected
160	162	1	Undirected
6	8	1	Undirected
44	51	1	Undirected
27	44	1	Undirected
44	144	1	Undirected
3	8	1	Undirected
49	55	1	Undirected
50	113	1	Undirected
50	155	1	Undirected
35	194	1	Undirected
6	93	1	Undirected
31	32	1	Undirected
38	101	1	Undirected
17	94	1	Undirected
74	169	2	Undirected
33	212	1	Undirected
184	194	1	Undirected
5	106	1	Undirected
161	221	1	Undirected
11	223	1	Undirected
10	135	1	Undirected
11	116	2	Undirected
61	158	1	Undirected
98	112	1	Undirected
17	209	1	Undirected
5	107	4	Undirected
46	54	1	Undirected
27	45	1	Undirected
29	39	1	Undirected
164	166	1	Undirected
35	51	1	Undirected
50	62	3	Undirected
32	135	1	Undirected
91	95	1	Undirected
69	73	1	Undirected
30	70	1	Undirected
33	59	1	Undirected
23	234	1	Undirected
50	198	1	Undirected
15	53	1	Undirected
5	235	1	Undirected
10	30	3	Undirected
11	212	1	Undirected
63	123	1	Undirected
201	213	1	Undirected
95	113	1	Undirected
116	125	1	Undirected
226	232	1	Undirected
61	79	2	Undirected
78	161	1	Undirected
159	166	1	Undirected
116	220	1	Undirected
23	225	1	Undirected
201	206	1	Undirected
18	36	1	Undirected
96	101	2	Undirected
38	44	6	Undirected
7	183	1	Undirected
173	174	1	Undirected
13	49	1	Undirected
9	17	1	Undirected
17	146	1	Undirected
30	117	1	Undirected
140	147	1	Undirected
20	133	1	Undirected
4	55	1	Undirected
53	214	1	Undirected
43	169	1	Undirected
7	55	1	Undirected
29	116	2	Undirected
93	114	1	Undirected
183	188	1	Undirected
29	170	1	Undirected
30	134	1	Undirected
4	45	1	Undirected
36	208	1	Undirected
141	151	1	Undirected
18	34	1	Undirected
30	45	1	Undirected
9	34	1	Undirected
44	121	1	Undirected
11	54	1	Undirected
232	238	1	Undirected
50	177	1	Undirected
17	43	6	Undirected
90	163	2	Undirected
51	53	1	Undirected
43	83	1	Undirected
5	227	1	Undirected
5	59	1	Undirected
228	239	1	Undirected
202	210	1	Undirected
36	112	3	Undirected
107	134	1	Undirected
30	46	1	Undirected
102	110	1	Undirected
44	168	1	Undirected
134	210	1	Undirected
7	138	2	Undirected
11	40	2	Undirected
111	115	1	Undirected
147	222	1	Undirected
50	238	1	Undirected
10	77	1	Undirected
202	206	1	Undirected
50	170	1	Undirected
52	122	1	Undirected
149	153	1	Undirected
20	28	1	Undirected
36	155	1	Undirected
5	37	5	Undirected
1	40	1	Undirected
2	87	1	Undirected
96	169	1	Undirected
119	126	1	Undirected
20	138	1	Undirected
25	48	1	Undirected
206	208	1	Undirected
50	224	1	Undirected
138	139	1	Undirected
16	38	1	Undirected
28	29	1	Undirected
29	183	2	Undirected
52	138	1	Undirected
20	125	1	Undirected
47	49	1	Undirected
33	68	1	Undirected
165	180	1	Undirected
166	169	1	Undirected
61	202	1	Undirected
3	4	1	Undirected
107	214	1	Undirected
9	35	1	Undirected
33	189	1	Undirected
17	167	1	Undirected
76	167	1	Undirected
5	75	2	Undirected
35	202	1	Undirected
227	238	1	Undirected
7	90	4	Undirected
17	75	2	Undirected
50	148	2	Undirected
145	148	1	Undirected
172	176	1	Undirected
35	211	1	Undirected
96	220	1	Undirected
5	14	1	Undirected
116	185	1	Undirected
35	136	1	Undirected
34	35	1	Undirected
143	148	1	Undirected
146	151	1	Undirected
84	88	1	Undirected
118	126	1	Undirected
76	81	2	Undirected
77	82	1	Undirected
208	211	1	Undirected
36	216	1	Undirected
74	82	1	Undirected
134	209	1	Undirected
101	107	1	Undirected
17	113	1	Undirected
63	124	2	Undirected
29	62	1	Undirected
52	126	1	Undirected
5	218	1	Undirected
169	220	1	Undirected
10	130	1	Undirected
113	115	1	Undirected
13	35	4	Undirected
40	55	1	Undirected
5	51	1	Undirected
32	38	2	Undirected
3	34	1	Undirected
96	107	1	Undirected
36	173	1	Undirected
48	121	1	Undirected
20	30	3	Undirected
36	237	1	Undirected
154	157	1	Undirected
43	165	2	Undirected
33	44	7	Undirected
220	221	1	Undirected
19	38	1	Undirected
44	151	1	Undirected
58	72	1	Undirected
33	40	1	Undirected
17	85	4	Undirected
116	181	1	Undirected
78	88	2	Undirected
36	209	1	Undirected
63	132	1	Undirected
35	87	3	Undirected
95	110	1	Undirected
33	134	1	Undirected
44	192	1	Undirected
58	69	1	Undirected
148	165	1	Undirected
10	81	1	Undirected
36	159	1	Undirected
12	82	1	Undirected
5	205	1	Undirected
5	124	3	Undirected
3	20	1	Undirected
50	104	1	Undirected
33	158	1	Undirected
7	236	1	Undirected
188	196	1	Undirected
29	47	1	Undirected
11	215	1	Undirected
60	62	1	Undirected
229	236	1	Undirected
5	170	1	Undirected
107	206	1	Undirected
164	189	1	Undirected
21	32	1	Undirected
75	90	1	Undirected
105	112	1	Undirected
134	203	1	Undirected
216	218	1	Undirected
36	51	1	Undirected
3	11	1	Undirected
17	232	1	Undirected
9	39	1	Undirected
52	163	1	Undirected
28	42	1	Undirected
164	188	1	Undirected
59	69	1	Undirected
6	35	5	Undirected
12	36	2	Undirected
11	204	1	Undirected
190	193	1	Undirected
10	34	1	Undirected
191	197	1	Undirected
134	206	1	Undirected
94	104	1	Undirected
35	123	1	Undirected
182	184	1	Undirected
10	33	2	Undirected
10	22	1	Undirected
14	41	1	Undirected
5	191	1	Undirected
15	46	1	Undirected
17	225	1	Undirected
39	55	1	Undirected
29	45	1	Undirected
7	85	4	Undirected
148	154	1	Undirected
36	53	2	Undirected
16	42	1	Undirected
36	134	2	Undirected
44	170	1	Undirected
8	41	1	Undirected
146	149	1	Undirected
2	112	2	Undirected
6	49	1	Undirected
153	157	1	Undirected
103	106	1	Undirected
30	119	1	Undirected
147	217	1	Undirected
229	233	1	Undirected
106	115	1	Undirected
158	166	1	Undirected
50	106	1	Undirected
211	214	1	Undirected
31	50	1	Undirected
36	122	1	Undirected
63	184	1	Undirected
50	188	1	Undirected
36	117	1	Undirected
129	136	1	Undirected
17	154	1	Undirected
32	51	1	Undirected
30	90	2	Undirected
202	207	1	Undirected
6	189	1	Undirected
6	89	1	Undirected
10	48	2	Undirected
44	202	1	Undirected
17	102	2	Undirected
50	112	3	Undirected
52	85	1	Undirected
17	65	1	Undirected
97	113	1	Undirected
35	118	1	Undirected
17	100	1	Undirected
35	174	1	Undirected
37	160	1	Undirected
33	117	1	Undirected
61	117	1	Undirected
17	201	1	Undirected
1	185	1	Undirected
5	58	1	Undirected
20	25	1	Undirected
32	138	2	Undirected
11	107	2	Undirected
43	115	1	Undirected
44	149	1	Undirected
40	233	1	Undirected
77	80	1	Undirected
41	51	1	Undirected
87	163	1	Undirected
5	66	1	Undirected
61	209	1	Undirected
118	122	1	Undirected
128	136	1	Undirected
35	74	2	Undirected
107	198	1	Undirected
13	81	1	Undirected
13	28	1	Undirected
29	210	1	Undirected
161	164	2	Undirected
4	37	1	Undirected
50	70	2	Undirected
35	46	1	Undirected
88	165	1	Undirected
20	135	1	Undirected
64	67	1	Undirected
185	200	1	Undirected
36	235	1	Undirected
40	164	1	Undirected
94	102	1	Undirected
11	79	2	Undirected
35	131	1	Undirected
180	182	1	Undirected
93	106	1	Undirected
174	199	1	Undirected
2	22	1	Undirected
141	148	1	Undirected
101	147	1	Undirected
50	159	1	Undirected
225	227	1	Undirected
107	171	1	Undirected
7	132	1	Undirected
87	168	1	Undirected
33	38	4	Undirected
33	58	1	Undirected
48	52	2	Undirected
11	74	2	Undirected
116	192	1	Undirected
