Source	Target	Weight	Type
48	272	1	Undirected
155	197	2	Undirected
175	198	1	Undirected
166	206	1	Undirected
99	452	1	Undirected
92	459	1	Undirected
21	162	1	Undirected
237	240	1	Undirected
49	120	7	Undirected
86	192	1	Undirected
94	125	1	Undirected
101	423	1	Undirected
71	341	1	Undirected
119	136	1	Undirected
101	422	1	Undirected
99	436	1	Undirected
51	229	4	Undirected
34	81	6	Undirected
53	55	7	Undirected
51	401	1	Undirected
350	353	1	Undirected
42	295	1	Undirected
51	278	1	Undirected
111	134	1	Undirected
211	285	2	Undirected
34	348	1	Undirected
330	344	1	Undirected
22	202	1	Undirected
137	143	1	Undirected
108	409	1	Undirected
33	413	1	Undirected
105	332	1	Undirected
150	239	2	Undirected
94	111	6	Undirected
10	153	4	Undirected
20	194	2	Undirected
53	79	1	Undirected
70	90	1	Undirected
62	466	1	Undirected
214	395	1	Undirected
57	72	2	Undirected
35	465	1	Undirected
39	182	2	Undirected
10	195	3	Undirected
102	222	5	Undirected
17	27	1	Undirected
87	176	1	Undirected
179	215	1	Undirected
358	368	1	Undirected
111	165	6	Undirected
106	195	3	Undirected
92	388	1	Undirected
111	123	3	Undirected
251	254	1	Undirected
42	185	1	Undirected
20	71	7	Undirected
10	192	1	Undirected
14	285	2	Undirected
420	430	1	Undirected
36	228	1	Undirected
35	406	1	Undirected
108	138	1	Undirected
3	36	1	Undirected
3	62	1	Undirected
223	224	1	Undirected
171	190	1	Undirected
22	59	1	Undirected
39	223	1	Undirected
71	344	1	Undirected
71	438	1	Undirected
222	406	1	Undirected
11	42	1	Undirected
7	24	1	Undirected
102	111	2	Undirected
55	270	1	Undirected
17	271	1	Undirected
42	230	1	Undirected
234	338	1	Undirected
376	385	1	Undirected
160	433	1	Undirected
328	332	1	Undirected
294	400	1	Undirected
178	186	1	Undirected
35	331	1	Undirected
150	228	2	Undirected
107	127	1	Undirected
48	290	1	Undirected
23	66	1	Undirected
105	201	1	Undirected
234	252	1	Undirected
22	129	2	Undirected
31	208	1	Undirected
361	378	1	Undirected
49	374	1	Undirected
101	275	1	Undirected
52	333	1	Undirected
316	376	1	Undirected
49	150	8	Undirected
303	309	1	Undirected
40	180	1	Undirected
149	261	1	Undirected
123	270	1	Undirected
351	361	1	Undirected
74	87	1	Undirected
193	196	1	Undirected
8	124	1	Undirected
21	22	4	Undirected
303	305	1	Undirected
129	140	1	Undirected
122	128	1	Undirected
408	410	1	Undirected
20	74	1	Undirected
262	434	1	Undirected
52	102	7	Undirected
155	340	1	Undirected
91	270	1	Undirected
299	306	1	Undirected
94	195	5	Undirected
229	279	1	Undirected
96	411	1	Undirected
183	213	1	Undirected
258	259	1	Undirected
42	434	1	Undirected
90	410	1	Undirected
35	371	1	Undirected
112	117	1	Undirected
22	156	1	Undirected
60	175	4	Undirected
106	183	1	Undirected
131	460	1	Undirected
400	401	1	Undirected
16	437	1	Undirected
352	378	1	Undirected
19	97	1	Undirected
53	204	5	Undirected
200	203	1	Undirected
142	417	1	Undirected
137	230	1	Undirected
149	195	6	Undirected
106	206	2	Undirected
33	184	3	Undirected
39	48	12	Undirected
101	235	1	Undirected
90	251	1	Undirected
16	198	1	Undirected
230	236	1	Undirected
8	97	1	Undirected
214	281	1	Undirected
187	214	2	Undirected
17	114	1	Undirected
92	289	1	Undirected
234	345	1	Undirected
114	137	1	Undirected
186	195	1	Undirected
72	189	1	Undirected
150	188	1	Undirected
14	338	1	Undirected
22	329	1	Undirected
60	244	2	Undirected
45	178	1	Undirected
41	68	1	Undirected
5	31	1	Undirected
361	386	1	Undirected
118	256	1	Undirected
39	107	14	Undirected
303	310	1	Undirected
175	222	2	Undirected
33	433	1	Undirected
51	185	1	Undirected
150	267	1	Undirected
42	240	1	Undirected
81	100	2	Undirected
14	57	22	Undirected
189	259	1	Undirected
157	191	1	Undirected
53	352	1	Undirected
87	344	1	Undirected
39	284	1	Undirected
57	63	1	Undirected
101	387	2	Undirected
90	266	1	Undirected
111	277	1	Undirected
106	279	2	Undirected
262	442	1	Undirected
7	35	1	Undirected
84	102	1	Undirected
29	416	1	Undirected
31	209	1	Undirected
195	206	3	Undirected
137	313	1	Undirected
36	149	5	Undirected
176	431	1	Undirected
94	171	1	Undirected
43	48	4	Undirected
9	26	1	Undirected
16	129	3	Undirected
96	196	1	Undirected
72	98	1	Undirected
176	448	1	Undirected
24	464	1	Undirected
53	332	1	Undirected
10	260	1	Undirected
23	65	1	Undirected
52	387	2	Undirected
193	203	1	Undirected
81	96	3	Undirected
203	218	1	Undirected
27	45	1	Undirected
46	329	1	Undirected
43	239	2	Undirected
117	223	1	Undirected
13	57	10	Undirected
215	222	1	Undirected
78	220	2	Undirected
64	146	2	Undirected
155	163	1	Undirected
36	407	1	Undirected
141	143	1	Undirected
55	188	1	Undirected
17	162	1	Undirected
150	405	1	Undirected
165	270	1	Undirected
76	334	1	Undirected
43	58	1	Undirected
123	282	1	Undirected
118	139	1	Undirected
199	214	1	Undirected
212	273	1	Undirected
14	222	6	Undirected
142	179	3	Undirected
131	427	1	Undirected
187	394	1	Undirected
95	229	1	Undirected
53	362	1	Undirected
29	78	4	Undirected
12	59	1	Undirected
8	195	4	Undirected
46	158	1	Undirected
352	384	1	Undirected
286	298	1	Undirected
51	244	1	Undirected
17	330	1	Undirected
92	212	2	Undirected
137	294	2	Undirected
49	191	3	Undirected
227	308	1	Undirected
101	282	2	Undirected
312	321	1	Undirected
98	118	2	Undirected
78	417	1	Undirected
5	65	1	Undirected
22	226	1	Undirected
102	387	1	Undirected
107	269	1	Undirected
81	200	1	Undirected
57	390	1	Undirected
29	401	2	Undirected
105	225	1	Undirected
134	135	1	Undirected
14	438	1	Undirected
149	425	1	Undirected
33	237	1	Undirected
207	221	1	Undirected
29	38	1	Undirected
33	219	3	Undirected
149	188	1	Undirected
129	192	1	Undirected
8	77	2	Undirected
215	280	1	Undirected
46	454	1	Undirected
173	222	1	Undirected
62	415	1	Undirected
282	436	1	Undirected
75	425	1	Undirected
52	153	6	Undirected
71	336	1	Undirected
95	154	1	Undirected
55	207	1	Undirected
49	372	1	Undirected
36	327	1	Undirected
45	124	1	Undirected
11	16	1	Undirected
45	283	1	Undirected
222	450	1	Undirected
45	398	1	Undirected
165	239	1	Undirected
17	276	1	Undirected
76	85	2	Undirected
373	375	1	Undirected
81	89	1	Undirected
401	403	1	Undirected
101	292	1	Undirected
21	109	1	Undirected
456	458	1	Undirected
14	30	1	Undirected
92	98	2	Undirected
152	337	1	Undirected
213	221	1	Undirected
36	201	1	Undirected
33	35	11	Undirected
100	437	1	Undirected
47	49	4	Undirected
227	319	1	Undirected
40	100	3	Undirected
51	393	3	Undirected
16	63	1	Undirected
9	25	1	Undirected
153	430	1	Undirected
64	293	1	Undirected
106	296	1	Undirected
281	291	1	Undirected
17	144	1	Undirected
108	247	1	Undirected
118	288	1	Undirected
106	292	1	Undirected
226	240	1	Undirected
355	373	1	Undirected
149	303	1	Undirected
42	137	8	Undirected
182	202	1	Undirected
52	210	1	Undirected
39	326	1	Undirected
34	104	1	Undirected
12	30	1	Undirected
51	235	1	Undirected
47	184	1	Undirected
153	275	1	Undirected
75	152	1	Undirected
229	247	1	Undirected
73	84	1	Undirected
42	382	1	Undirected
6	60	1	Undirected
100	111	1	Undirected
99	193	1	Undirected
64	98	1	Undirected
34	84	1	Undirected
41	48	1	Undirected
239	268	1	Undirected
14	466	1	Undirected
60	418	1	Undirected
95	407	1	Undirected
39	128	1	Undirected
57	301	1	Undirected
62	251	2	Undirected
146	212	2	Undirected
17	83	1	Undirected
142	223	1	Undirected
35	393	3	Undirected
71	186	1	Undirected
